ARAB;ENG
جملة;Magazine
الشريعة والدراسات الإسلامية ;Sharia and Islamic Studies
التربية;Education
العلوم التطبيقية للبنات;Applied Sciences for Girls
اللغة العربية وآدابها;Arabic language and its literature
الدعوة وأصول الدين;Dawa and Fundamentals of Religion
العلوم الاجتماعية;social science
الهندسة والعمارة الإسلامية;Engineering and Islamic Architecture
الكلية الجامعية بالقنفذة ;University College Jouf
المعهد العالي للأمر بالمعروف والنهي عن المنكر ;Higher Institute of enjoining what is good and forbidding what is evil
الكلية الجامعية بالليث;University College Ballit
الإجمالي الكلي ;total
جملة;Phrase
الشريعة ;Sharia
الدعوة وأصول الدين ;Dawa and Fundamentals of Religion
القرآن الكريم والدراسات الإسلامية ;Holy Quran and Islamic Studies
الحديث الشريف والدراسات الإسلامية ;The Hadith and Islamic Studies
اللغة العربية ;Arabic
معهد تعليم اللغة العربية لغير الناطقين بها ;Institute for teaching Arabic to non-native speakers
الإجمالي الكلي ;total
جملة;Phrase
الشريعة ;Sharia
اللغة العربية ;Arabic
أصول الدين;Religion basics
العلوم الاجتماعية;social science
الدعوة ;the invitation
اللغات والترجمة;Languages ​​and Translation
الاقتصاد والعلوم الإدراية;Economy, science managerial
المعهد العالي للقضاء;Higher Judicial Institute
معهد تعليم اللغة العربية;Arabic Teaching Institute
المركز الجامعي لخدمة المجتمع والتعليم المستمر ;University Center for Community Service and Continuing Education
الإجمالي الكلي ;total
جملة;Phrase
إدارة أعمال;Business Administration
الآداب;Arts
الحقوق والعلوم السياسية;Law and Political Science
التربية;Education
التمريض;Nursing
السياحة والآثار;Tourism and Antiquities
الصيدلة;Pharmacy
الطب;Medicine
العلوم;Science
العلوم الطبية التطبيقية;Applied Medical Sciences
العمارة والتخطيط;Architecture and Planning
الهندسة;Engineering
طب الأسنان;dentistry
علوم الأغذية والزراعة;Food and Agricultural Sciences
علوم الحاسب والمعلومات;Computer and Information Sciences
معهد اللغة العربية;Arabic Language Institute
اللغات والترجمة;Languages ​​and Translation
 إدارة الأعمال - البرنامج الموازي;Business Administration - parallel program
الآداب - البرنامج الموازي;Arts - parallel program
التربية - البرنامج الموازي;Education - parallel program
العلوم - البرنامج الموازي;Science - parallel program
علوم الحاسب - البرنامج الموازي;Computer Science - Parallel program
علوم الرياضة والنشاط البدني;Sport and Physical Activity Sciences
الإجمالي الكلي;total
جملة;Phrase
الاقتصاد والإدارة;Economics and Management
الآداب والعلوم الإنسانية;Arts and Humanities
