ARAB;ENG
البرنامج الأكاديمي;Academic Program
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
محاسبة;Accounting
محاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة;Accounting
المحاسبة ونظم المعلومات الإدارية;Accounting and management information systems
الإدارية والإنسانية;Administrative and humanitarian
الإدارة;Administration
الإدارة;Administration
الإدارة ;Administration
الإدارة;Administration
الإدارة;Administration
الإدارة;Administration
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية;Administration Science
العلوم الإدارية ;Administration Science
العلوم الإدارية والإنسانية;Administrative Sciences and Humanities
العلوم الإدارية وتقنياتها;Administrative Sciences and technologies
العلوم الإدارية وتقنياتها;Administrative Sciences and technologies
التقنية الإدارية;Administrative and technical
التقنية الإدارية;Administrative and technical
التقنية الإدارية;Administrative and technical
التقنية الإدارية;Administrative and technical
الإعلان;Advertising
التعليم المتقدم في طب الأسنان العام;Advanced Education in General Dentistry
اللغة العربية والنحو والصرف;Arabic language and grammar
هندسة الطيران والفضاء;Aerospace Engineering
زراعة;Agriculture
الأعمال الزراعية وعلوم المستهلك;Agri-business and consumer sciences
الاقتصاد الزراعي;Agricultural economy
الهندسة الزراعية;Agricultural engineering
البيئة والمصادر الطبيعية الزراعية;Agricultural environment and natural resources
هندسة النظم الزراعية;Agricultural Systems Engineering
تقنية هندسة الإكترونيات والآلات الدقيقة;Alakatronyat Technology and Instrumentation Engineering
التربية الخاسة;Alkhash Education
الهندسة الميكيانيكية;Almikianikih Engineering
التشريح;Anatomy
التخدير;Anesthesia
التخدير;Anesthesia
التخدير والعمليات;Anesthesia and processes
الإنتاج الحيواني والسمكي;Animal and Fishery Production
الإنتاج الحيواني;Animal Production
الفنون التطبيقية;Applied Arts
اللغويات التطبيقية;Applied Linguistics
اللغويات التطبيقية;Applied Linguistics
العلوم الطبية التطبيقية;Applied Medical Sciences
العلوم الطبية التطبيقية;Applied Medical Sciences
العلوم الطبيعية التطبيقية;Applied Natural Sciences
العلوم التطبيقية;Applied Science
العلوم التطبيقية;Applied Science
اللغة العربية وآدابها;Arabic language and its literature
اللغة العربية وآدابها;Arabic language and its literature
اللغة العربية وآدابها;Arabic language and its literature
اللغة العربية وآدابها;Arabic language and its literature
اللغة العربية وآدابها;Arabic language and its literature
اللغة العربية وآدابها;Arabic language and its literature
اللغة العربية وآدابها;Arabic language and its literature
اللغة العربية وآدابها;Arabic language and its literature
العمارة;Architecture
العمارة;Architecture
العمارة;Architecture
الهندسة المعمارية;Architecture
الهندسة المعمارية;Architecture
الهندسة المعمارية;Architecture
العمارة;Architecture
الهندسة المعمارية;Architecture
العمارة;Architecture
العمارة وعلوم البناء;Architecture and Building Sciences
التصميم المعماري;Architectural Design
زراعة المناطق الجافة;Arid Land Agriculture
الحسبة ;Arithmetic
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية ;Arabic language
اللغة العربية ;Arabic language
اللغة العربية ;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
اللغة العربية;Arabic language
الأدب العربي;Arabic literature
اللغة العربية لغير الناطقين بها;Arabic language to non-native speakers
الآداب;Arts
التربية الفنية;Art education
التربية الفنية;Art education
التربية الفنية;Art education
التربية الفنية;Art education
التربية الفنية;Art education
 الآداب والعلوم الإنسانية;Arts and Humanities
مساعد طبيب;Assistant doctor
الفلك;Astronomy
هندسة الطيران;Aviation Engineering
برنامج بكالوريوس علوم الحاسبات (تجسير);Bachelor of Computer Science (bridging)
إدارة أعمال بنكية;Bank Business Administration
الأعمال المصرفية والتمويل;Banking and Finance
الأعمال المصرفية والتمويل;Banking and Finance
تعليم أساسي اللغة العربية;Basic Arabic language education
التعليم الأساسي;The basic education
التعليم الأساسي;The basic education
 المهارات الأساسية;Basic Skills
العلوم الأساسية وتقنياتها;Basic sciences and technologies
العلوم الأساسية ومواد الأعداد;Basic sciences and material numbers
الباطنة;Batinah
إدارة الأعمال والمعلومات;Business and Information Management
أحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الاحياء;Biology
علومالأحياء;Biology
علم الأحياء;Biology
الأحياء;Biology
الأحياء;Biology
الكيمياء الحيوية;Biochemistry
الكيمياء الحيوية;Biochemistry
كيمياء حيوية;Biochemistry
التكنولوجيا الطبية الحيوية;Biomedical Technology
العلوم الحيوية;Biological Sciences
النبات والأحياء الدقيقة;Botany and Microbiology
 تجسير علوم مختبرات إكلينيكية;Bridging the clinical laboratory sciences
 تجسير العناية التنفسية;Bridging the Respiratory Care
علوم تقنية البناء;Building Technology Science
إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
عام إدارة أعمال;In Business Administration
الأعمال;Business
