ARAB;ENG
المحاسبة;Accounting
محاسبة;Accounting
تقنية المحاسبة والإدارة المالية;Accounting and Financial Management Technology
المحاسبة الآلية;Accounting mechanism
الإدارة;Administration
إدارة مستشفيات;Administration hospitals
العلوم الإدارية;Administration Science
نظم إدارية;Administrative systems
تعليم الكبار والتعليم المستمر;Adult education and continuing education
الإعلان;Advertising
عام الإعلان;Advertising
عام الدعوة وأصول الدين;Advocacy and the origins of religion
هندسة الطيران والفضاء;Aerospace Engineering
عام العلوم الزراعية والأغذية;Agricultural and Food Sciences
إنتاج الحيوان الزراعي;Agricultural animal production
الاقتصاد الزراعي;Agricultural economy
الهندسة الزراعية;Agricultural engineering
عام زراعة;Agriculture
طب الطوارئ الجوي;Air Emergency Medicine
الجبر;Algebra
تحليل;Analysis
كيمياء تحليلية;Analytic chemistry
الكيمياء التحليلية;Analytical chemistry
سياحة وآثار;Effects of tourism
التخدير;Anesthesia
التخدير والعمليات;Anesthesia and processes
التخدير لأمراض القلب;Anesthesia for heart disease
التخدير لدى الأطفال;Anesthesia in children
التخدير لدى النساء;Anesthesia in women
طب التخدير;Anesthesiology
حيوان;Animal
أحياء حيوان;Animal alive
البيئة الحيوانية والتلوث;Animal and environmental pollution
علوم الانتاج الحيواني;Animal Production Science
آثار قديمة;Antiquities
الفنون التطبيقية;Applied Arts
علوم الحاسب الآلي التطبيقي;Applied Computer Science
 المحاسبة المالية التطبيقي ;Applied Financial Accounting
اللغويات التطبيقية;Applied Linguistics
 التسويق التطبيقي ;Applied Marketing
الرياضيات التطبيقية;Applied Mathematics
عام علوم طبية تطبيقية;Applied Medical Sciences
عام العلوم الطبية التطبيقية;Applied Medical Sciences
العلوم التطبيقية;Applied Science
الإحصاء التطبيقي;Applied Statistics
اللغة العربية ;Arabic language
لغة عربية;Arabic Language
عام اللغة العربية;Arabic language
اللغة العربية وآدابها;Arabic language and its literature
التصميم المعماري;Architectural Design
هندسة معمارية;Architectural engineering
الهندسة المعمارية;Architecture
العمارة;Architecture
العمارة - تصميم داخلي;Architecture - Interior Design
العمارة وعلوم البناء;Architecture and Building Sciences
المساحة;Area
زراعة المناطق الجافة;Arid Land Agriculture
الحسبة ;Arithmetic
التصاميم والفنون - التصميم الداخلي;Art and Design - Interior Design
تربية فنية;Art Education
التربية الفنية;Art education
فن النسيج;Art of textiles
أصول فقه;Assets jurisprudence
مساعد طبيب;Assistant doctor
الفلك;Astronomy
إدارة الأعمال التنفيدية;Atidah Business Administration
العوق السمعي;Auditory handicap
اضطرابات طيف التوحد;Autism spectrum disorders
التحكم الآلي والحاسبات;Automated control systems and computers
هندسة الطيران;Aviation Engineering
إدارة أعمال بنكية;Bank Business Administration
الأعمال المصرفية والتمويل;Banking and Finance
أعمال بنكية;Banking business
الأعمال البنكية;Banking Business
المعاملات المصرفية;Banking transactions
التعليم الأساسي لغة عربية;Basic education and Arabic language
التعليم الأساسي دراسات قرآنية;Basic education Koranic studies
التعليم الأساسي رياضيات;Basic education mathematics
التعليم الأساسي علوم;Basic Education Sciences
العلوم الأساسية ومواد الأعداد;Basic sciences and material numbers
الاضطرابات السلوكية والانفعالية;Behavioral and emotional disorders
الاضطرابات السلوكية والتوحد;Behavioral disorders and autism
الكيمياء الحيوية;Biochemistry
كيمياء حيوية;Biochemistry
التنوع الإحيائي;Biodiversity
العلوم الحيوية;Biological Sciences
الاحياء;Biology
أحياء;Biology
الأحياء;Biology
التكنولوجيا الطبية الحيوية;Biomedical Technology
أمراض الدم والمصل;Blood and serum diseases
الولادة والتناسليات والتلقيح الاصطناعي ونقل الأجنة;Born and Altanasliat artificial insemination and embryo transfer
عمارة;Building
المحاسبة التجارية;Business Accounting
عام إدارة أعمال;Business Administration
إدارة أعمال;Business Administration
إدارة الاعمال;Business Management
إدارة الأعمال ;Business Management
إدارة الأعمال;Business Management
إدارة الأعمال للمديرين التنفيذين;Business managers Executives
الدراسات التجارية;Business Studies
الدعوة;Call
كهرباء سيارات;Car electricitie
رعاية الجرحى لدى الكبار;Care for the wounded adult
