المجتمعبأبيعريش;Abu Arish Community;ABUARICOM
الإدارةوالاقتصادالمنزليبأبها;Administration And Home Economics In Abha;ADMANDHOMECOINABH
العلومالإدارية;Administration Science;ADMSCI
العلومالإداريةوالمالية;Administrative And Financial Sciences;ADMANDFINSCI
العلومالإداريةوالإنسانية;Administrative Sciences And Humanities;ADMSCIANDHUM
العلومالإداريةوالانسانيةبرماح;Administrative Sciences And Humanities Bermah;ADMSCIANDHUMBER
العلومالإداريةوالإنسانيةبسكاكا;Administrative Sciences And Humanities Biskaka;ADMSCIANDHUMBIS
العلومالإداريةوالإنسانيةبحوطةسدير;Administrative Sciences And Humanities Hotat Sadir;ADMSCIANDHUMHOTSAD
الإعلان;Advertising;ADV
الدعوةوالإعلام;Advocacy And Information;ADVANDINF
المجتمعبالأفلاج(المشارك);Aflaj Community (co);AFLCOMCO
المجتمعبالأفلاج(تأهيلي);Aflaj Society (rehabilitation);AFLSOCREH
وكالةعمادةالخدماتالتعليميةبينبع;Agency Dean, Educational Services In Yanbu;AGEDEAEDUSERINYAN
وكالةعمادةالخدماتالتعليميةبالعلا;Agency Dean, Educational Services Ola;AGEDEAEDUSEROLA
العلومالزراعيةوالأغذية;Agricultural And Food Sciences;AGRANDFOOSCI
الزراعةوالطبالبيطري;Agriculture And Veterinary Medicine;AGRANDVETMED
الكليةالتقنيةبالأحساء;Ahsa College of Technology;AHSCOLTEC
المجتمعبالخرج(تأهيلي);Al-kharj Society (rehabilitation);ALKHASOCREH
التمرضوالعلومالصحيةالمساعدة;Altmrd Health Sciences;ALTHEASCI
العلومالطبيةالتطبيقية;Applied Medical Sciences;APPMEDSCI
العلومالطبيةالتطبيقيةبالدوادمي;Applied Medical Sciences Aldawadmi;APPMEDSCIALD
العلومالطبيةالتطبيقيةبالنماص;Applied Medical Sciences Balnmas;APPMEDSCIBAL
العلومالطبيةالتطبيقيةبشقراء;Applied Medical Sciences Bhqra;APPMEDSCIBHQ
العلومالطبيةالتطبيقيةبمحايلعسير;Applied Medical Sciences Bmhaal Asir;APPMEDSCIBMHASI
العلومالطبيةالتطبيقيةببيشة;Applied Medical Sciences Bouaphh;APPMEDSCIBOU
