البرنامجالأكاديمي;Academic Program;ACAPRO
المحاسبة;Accounting;ACC
محاسبة;Accounting;ACC
المحاسبةونظمالمعلوماتالإدارية;Accounting And Management Information Systems;ACCANDMANINFSYS
الإداريةوالإنسانية;Administrative And Humanitarian;ADMANDHUM
الإدارة;Administration;ADM
العلومالإدارية;Administration Science;ADMSCI
العلومالإداريةوالإنسانية;Administrative Sciences And Humanities;ADMSCIANDHUM
العلومالإداريةوتقنياتها;Administrative Sciences And Technologies;ADMSCIANDTEC
التقنيةالإدارية;Administrative And Technical;ADMANDTEC
الإعلان;Advertising;ADV
التعليمالمتقدمفيطبالأسنانالعام;Advanced Education In General Dentistry;ADVEDUINGENDEN
اللغةالعربيةوالنحووالصرف;Arabic Language And Grammar;ARALANANDGRA
هندسةالطيرانوالفضاء;Aerospace Engineering;AERENG
زراعة;Agriculture;AGR
الأعمالالزراعيةوعلومالمستهلك;Agri-business And Consumer Sciences;AGRBUSANDCONSCI
الاقتصادالزراعي;Agricultural Economy;AGRECO
الهندسةالزراعية;Agricultural Engineering;AGRENG
البيئةوالمصادرالطبيعيةالزراعية;Agricultural Environment And Natural Resources;AGRENVANDNATRES
هندسةالنظمالزراعية;Agricultural Systems Engineering;AGRSYSENG
تقنيةهندسةالإكترونياتوالآلاتالدقيقة;Alakatronyat Technology And Instrumentation Engineering;ALATECANDINSENG
التربيةالخاسة;Alkhash Education;ALKEDU
الهندسةالميكيانيكية;Almikianikih Engineering;ALMENG
التشريح;Anatomy;ANA
التخدير;Anesthesia;ANE
التخديروالعمليات;Anesthesia And Processes;ANEANDPRO
الإنتاجالحيوانيوالسمكي;Animal And Fishery Production;ANIANDFISPRO
الإنتاجالحيواني;Animal Production;ANIPRO
الفنونالتطبيقية;Applied Arts;APPART
اللغوياتالتطبيقية;Applied Linguistics;APPLIN
العلومالطبيةالتطبيقية;Applied Medical Sciences;APPMEDSCI
العلومالطبيعيةالتطبيقية;Applied Natural Sciences;APPNATSCI
العلومالتطبيقية;Applied Science;APPSCI
اللغةالعربيةوآدابها;Arabic Language And Its Literature;ARALANANDITSLIT
العمارة;Architecture;ARC
الهندسةالمعمارية;Architecture;ARC
العمارةوعلومالبناء;Architecture And Building Sciences;ARCANDBUISCI
التصميمالمعماري;Architectural Design;ARCDES
زراعةالمناطقالجافة;Arid Land Agriculture;ARILANAGR
الحسبة;Arithmetic;ARI
اللغةالعربية;Arabic Language;ARALAN
الأدبالعربي;Arabic Literature;ARALIT
اللغةالعربيةلغيرالناطقينبها;Arabic Language To Non-native Speakers;ARALANTONONNATSPE
الآداب;Arts;ART
التربيةالفنية;Art Education;ARTEDU
الآدابوالعلومالإنسانية;Arts And Humanities;ARTANDHUM
مساعدطبيب;Assistant Doctor;ASSDOC
الفلك;Astronomy;AST
هندسةالطيران;Aviation Engineering;AVIENG
برنامجبكالوريوسعلومالحاسبات(تجسير);Bachelor of Computer Science (bridging);BACCOMSCIBRI
إدارةأعمالبنكية;Bank Business Administration;BANBUSADM
الأعمالالمصرفيةوالتمويل;Banking And Finance;BANANDFIN
تعليمأساسياللغةالعربية;Basic Arabic Language Education;BASARALANEDU
التعليمالأساسي;The Basic Education;THEBASEDU
المهاراتالأساسية;Basic Skills;BASSKI
العلومالأساسيةوتقنياتها;Basic Sciences And Technologies;BASSCIANDTEC
العلومالأساسيةوموادالأعداد;Basic Sciences And Material Numbers;BASSCIANDMATNUM
الباطنة;Batinah;BAT
إدارةالأعمالوالمعلومات;Business And Information Management;BUSANDINFMAN
أحياء;Biology;BIO
الأحياء;Biology;BIO
الاحياء;Biology;BIO
علومالأحياء;Biology;BIO
علمالأحياء;Biology;BIO
الكيمياءالحيوية;Biochemistry;BIO1
كيمياءحيوية;Biochemistry;BIO1
التكنولوجياالطبيةالحيوية;Biomedical Technology;BIOTEC
العلومالحيوية;Biological Sciences;BIOSCI
النباتوالأحياءالدقيقة;Botany And Microbiology;BOTANDMIC
تجسيرعلوممختبراتإكلينيكية;Bridging the Clinical Laboratory Sciences;BRICLILABSCI
تجسيرالعنايةالتنفسية;Bridging the Respiratory Care;BRIRESCAR
علومتقنيةالبناء;Building Technology Science;BUITECSCI
إدارةأعمال;Business Administration;BUSADM
عامإدارةأعمال;In Business Administration;INBUSADM
الأعمال;Business;BUS
إدارةالأعمال;Business Management;BUSMAN
ادارةالاعمال;Business Management;BUSMAN
إدارةالأعمالوتقنياتها;Business And Technology Management;BUSANDTECMAN
الدعوة;Call;CAL
الطوارئالطبيةوالعنايةالمركزية;Central Emergency Medical Care;CENEMEMEDCAR
مركزالدراساتالإسلامية;Centre For Islamic Studies;CENFORISLSTU
الكيمياء;Chemistry;CHE
